Aeneus_surface	Outgroup
Chica1_1	Chica
Chica1_10	Chica
Chica1_11	Chica
Chica1_12	Chica
Chica1_13	Chica
Chica1_14	Chica
Chica1_2	Chica
Chica1_3	Chica
Chica1_4	Chica
Chica1_5	Chica
Chica1_6	Chica
Chica1_7	Chica
Chica1_8	Chica
Chica1_9	Chica
Chica5_1	Chica
Chica5_2	Chica
Chica5_3	Chica
Chica5_4	Chica
Chica5_5	Chica
Choy_1	Choy
Choy_10	Choy
Choy_11	Choy
Choy_12	Choy
Choy_13	Choy
Choy_14	Choy
Choy_5	Choy
Choy_6	Choy
Choy_9	Choy
Pach_11	Pachon
Pach_12	Pachon
Pach_14	Pachon
Pach_15	Pachon
Pach_17	Pachon
Pach_3	Pachon
Pach_7	Pachon
Pach_8	Pachon
Pach_9	Pachon
Pachon2B	Pachon
Pachon_1Gross	Pachon
Pachon_2Gross	Pachon
Pachon_3Gross	Pachon
Pachon_6Boro	Pachon
Pachon_E2POG	Pachon
Pachon_F2POG	Pachon
Pachon_G2POG	Pachon
Pachon_H2POG	Pachon
Pachon_ref	Pachon
Rascon1	Rascon
Rascon2	Rascon
Rascon3	Rascon
Rascon3B	Rascon
Rascon4	Rascon
Rascon5	Rascon
Rascon_12	Rascon
Rascon_13	Rascon
Rascon_15	Rascon
Rascon_16	Rascon
Rascon_2	Rascon
Rascon_4	Rascon
Rascon_6	Rascon
Rascon_8	Rascon
