Aeneus_surface	Outgroup
Chica1_1	ChicaPool2
Chica1_10	ChicaPool2
Chica1_11	ChicaPool2
Chica1_12	ChicaPool2
Chica1_13	ChicaPool2
Chica1_14	ChicaPool2
Chica1_2	ChicaPool2
Chica1_3	ChicaPool2
Chica1_4	ChicaPool2
Chica1_5	ChicaPool2
Chica1_6	ChicaPool2
Chica1_7	ChicaPool2
Chica1_8	ChicaPool2
Chica1_9	ChicaPool2
Chica5_1	ChicaPool1
Chica5_2	ChicaPool1
Chica5_3	ChicaPool1
Chica5_4	ChicaPool1
Chica5_5	ChicaPool1
Choy_1	Choy
Choy_10	Choy
Choy_11	Choy
Choy_12	Choy
Choy_13	Choy
Choy_14	Choy
Choy_5	Choy
Choy_6	Choy
Choy_9	Choy
Pach_11	Pachon
Pach_12	Pachon
Pach_14	Pachon
Pach_15	Pachon
Pach_17	Pachon
Pach_3	Pachon
Pach_7	Pachon
Pach_8	Pachon
Pach_9	Pachon
Pachon2B	Pachon
Pachon_1Gross	Pachon
Pachon_2Gross	Pachon
Pachon_3Gross	Pachon
Pachon_6Boro	Pachon
Pachon_E2POG	Pachon
Pachon_F2POG	Pachon
Pachon_G2POG	Pachon
Pachon_H2POG	Pachon
Pachon_ref	Pachon
Rascon1	Rascon
Rascon2	Rascon
Rascon3	Rascon
Rascon3B	Rascon
Rascon4	Rascon
Rascon5	Rascon
Rascon_12	Rascon
Rascon_13	Rascon
Rascon_15	Rascon
Rascon_16	Rascon
Rascon_2	Rascon
Rascon_4	Rascon
Rascon_6	Rascon
Rascon_8	Rascon
