P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
ChicaPool2	ChicaPool1	Choy	0.000803319	0.0739982	0.470506	0.00134943	13203.4	4119.07	4112.46
ChicaPool1	ChicaPool2	Pachon	0.00293234	0.30736	0.379285	0.00126852	12012.7	3404.86	3384.95
ChicaPool1	ChicaPool2	Rascon	0.00328984	0.345088	0.365014	0.00164957	15179.6	2003.49	1990.36
Pachon	ChicaPool1	Choy	0.301478	22.9678	0	0.39108	7225.21	6768.62	3632.82
Choy	ChicaPool1	Rascon	0.285438	22.1958	0	0.190437	8321.32	4216.48	2343.9
ChicaPool1	Pachon	Rascon	0.270419	24.4005	0	0.198008	6689.14	3704.97	2127.7
Pachon	ChicaPool2	Choy	0.301315	24.1651	0	0.389912	7240.28	6757.17	3627.97
Choy	ChicaPool2	Rascon	0.28713	22.5452	0	0.191783	8311.69	4226.6	2340.88
ChicaPool2	Pachon	Rascon	0.26839	28.5435	0	0.196669	6700.06	3695.98	2131.85
Rascon	Pachon	Choy	0.410253	29.3405	0	0.261372	5492.28	4884.05	2042.44
