P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
ChicaPool2	ChicaPool1	Choy	0.000803319	0.0739982	0.470506	0.00134943	13203.4	4119.07	4112.46
ChicaPool1	ChicaPool2	Pachon	0.00293234	0.30736	0.379285	0.00126852	12012.7	3404.86	3384.95
ChicaPool1	ChicaPool2	Rascon	0.00328984	0.345088	0.365014	0.00164957	15179.6	2003.49	1990.36
Choy	Pachon	ChicaPool1	0.0326279	1.97812	0.0239573	0.0512789	3632.82	7225.21	6768.62
Choy	ChicaPool1	Rascon	0.285438	22.1958	0	0.190437	8321.32	4216.48	2343.9
ChicaPool1	Pachon	Rascon	0.270419	24.4005	0	0.198008	6689.14	3704.97	2127.7
Choy	Pachon	ChicaPool2	0.0345143	2.24757	0.0123019	0.0524161	3627.97	7240.28	6757.17
Choy	ChicaPool2	Rascon	0.28713	22.5452	0	0.191783	8311.69	4226.6	2340.88
ChicaPool2	Pachon	Rascon	0.26839	28.5435	0	0.196669	6700.06	3695.98	2131.85
Choy	Rascon	Pachon	0.0586174	4.0774	2.27711e-05	0.0315341	2042.44	5492.28	4884.05
