-0.082663,0.035122,-0.0585537,0.0156721,0.0526212,0.0162838,-0.0129243,-0.028768,0.0566834,0.0085197,-0.103836,0.0381522,-0.014887,-0.00799206,-0.0167657,-0.0195209,-0.0451845,0.0207663,0.0378381,0.093016	-0.510525,-0.51054,-0.477228,-0.49594,-0.484715,-0.530262,-0.517199,-0.567668,-0.496627,-0.49696,-0.460808,-0.611569,-0.587527,-0.579155,-0.576322,-0.59847,-0.559163,-0.465291,-0.566804,-0.390119	0.446714,0.53605,0.43071,0.507666,0.523972,0.541867,0.507669,0.547847,0.538161,0.503348,0.374911,0.634907,0.577692,0.573819,0.565016,0.585793,0.527301,0.481405,0.591947,0.466218
0.100901,-0.00630394,0.0620715,0.00120521,-0.0212062,-0.0187461,-4.11314e-05,0.0146507,-0.044895,-0.0157266,0.0765352,-0.0648913,9.76184e-05,-0.011438,0.0220718,0.0441435,0.00576929,-0.0641676,-0.00845269,-0.0223041	-0.465299,-0.567657,-0.489053,-0.519022,-0.586673,-0.571871,-0.608598,-0.56908,-0.508903,-0.556965,-0.454809,-0.662191,-0.586759,-0.603772,-0.632254,-0.603108,-0.559123,-0.548215,-0.538996,-0.491412	0.540809,0.563369,0.534887,0.519902,0.572591,0.559119,0.608572,0.578904,0.474857,0.546022,0.513471,0.624118,0.586823,0.596453,0.645321,0.630467,0.563076,0.501696,0.532971,0.474307
0.0596971,-0.0372257,0.0604879,-0.00139521,-0.00385253,-0.0313101,0.0285067,0.0307168,-0.0389054,-0.0014241,0.101685,-0.0388471,0.00425407,-0.0175641,0.0351874,0.0279842,0.014304,-0.0503588,-0.00100186,-0.0704879	-0.738974,-0.79532,-0.724004,-0.769384,-0.764363,-0.779884,-0.767853,-0.780127,-0.750868,-0.762251,-0.679892,-0.813144,-0.77699,-0.802703,-0.813141,-0.787661,-0.775725,-0.760154,-0.759849,-0.714168	0.764927,0.781224,0.751578,0.768814,0.762756,0.767311,0.779302,0.791869,0.733387,0.761653,0.731037,0.799553,0.778671,0.796367,0.824731,0.798054,0.78136,0.738048,0.759426,0.6778
-0.245967,-0.358247,-0.311996,-0.272165,-0.329391,-0.300058,-0.328014,-0.382272,-0.425849,-0.333046,-0.301132,-0.372158,-0.2975,-0.295239,-0.312993,-0.317036,-0.420469,-0.373891,-0.429944,-0.224271	-0.24919,-0.315127,-0.349022,-0.217194,-0.352394,-0.260731,-0.403694,-0.297234,-0.285349,-0.310386,-0.370614,-0.317155,-0.198332,-0.25325,-0.36055,-0.317033,-0.358722,-0.34979,-0.250472,-0.21095	0.00343351,-0.0486077,0.0415507,-0.0584246,0.0260239,-0.0426648,0.0872313,-0.0959388,-0.159934,-0.025272,0.0782106,-0.0623633,-0.105386,-0.0453821,0.053606,-3.17053e-06,-0.0727142,-0.0277274,-0.201131,-0.0139819
-0.243541,-0.315059,-0.301377,-0.402114,-0.230676,-0.262804,-0.256876,-0.352908,-0.320634,-0.223565,-0.206156,-0.286847,-0.285809,-0.331094,-0.2514,-0.240515,-0.244159,-0.27852,-0.420992,-0.258538	-0.569838,-0.592123,-0.613475,-0.633589,-0.533525,-0.548044,-0.584404,-0.568573,-0.513492,-0.532527,-0.570526,-0.521804,-0.502012,-0.585569,-0.621248,-0.552714,-0.542015,-0.552926,-0.543413,-0.515431	0.378877,0.340605,0.382889,0.31061,0.345352,0.333235,0.385381,0.269803,0.230868,0.350715,0.412939,0.276315,0.25242,0.315679,0.438302,0.360065,0.343285,0.324357,0.158735,0.296389
0.274208,0.265881,0.316009,0.227272,0.229541,0.309353,0.375892,0.260988,0.215564,0.300279,0.342018,0.207306,0.249577,0.245124,0.288492,0.244618,0.323309,0.321456,0.216523,0.200314	-0.302772,-0.33833,-0.256137,-0.347631,-0.250124,-0.279872,-0.139746,-0.316141,-0.361386,-0.272136,-0.199817,-0.302743,-0.274408,-0.304359,-0.317846,-0.28092,-0.327136,-0.279896,-0.358373,-0.2464	0.53275,0.554344,0.529304,0.532807,0.453621,0.542276,0.489904,0.53314,0.535253,0.529173,0.507174,0.479928,0.490399,0.511334,0.55541,0.491746,0.58823,0.551712,0.533499,0.425703
-0.297518,-0.358212,-0.340159,-0.274759,-0.321935,-0.289257,-0.325935,-0.386352,-0.412593,-0.323203,-0.332961,-0.345654,-0.296522,-0.289038,-0.321862,-0.336826,-0.418393,-0.342217,-0.428369,-0.220967	-0.199954,-0.336364,-0.316368,-0.228717,-0.382403,-0.26765,-0.395487,-0.279547,-0.321752,-0.31245,-0.302266,-0.331667,-0.188563,-0.247565,-0.352831,-0.310922,-0.33112,-0.357462,-0.27447,-0.279842	-0.103735,-0.024842,-0.0266602,-0.0491294,0.068957,-0.0234192,0.0798444,-0.119737,-0.104746,-0.0119606,-0.0341298,-0.0157988,-0.114352,-0.0446694,0.0349365,-0.0289333,-0.101308,0.01737,-0.174404,0.0627556
-0.274342,-0.29696,-0.335123,-0.403592,-0.230077,-0.245288,-0.272845,-0.366277,-0.30362,-0.220989,-0.266926,-0.270133,-0.287306,-0.321677,-0.268714,-0.253612,-0.246604,-0.252551,-0.424343,-0.22089	-0.542168,-0.599692,-0.601555,-0.640061,-0.554791,-0.549508,-0.583505,-0.561339,-0.534932,-0.533056,-0.538118,-0.53096,-0.496258,-0.579935,-0.619707,-0.54825,-0.52114,-0.55775,-0.561419,-0.551196	0.314624,0.368325,0.333705,0.31883,0.372227,0.351613,0.369484,0.245548,0.276166,0.353737,0.316679,0.304502,0.243698,0.317485,0.421119,0.342221,0.315021,0.355238,0.179945,0.376098
0.24239,0.289563,0.284322,0.229156,0.231337,0.324831,0.35741,0.246764,0.238471,0.303525,0.276254,0.222788,0.247945,0.252281,0.269787,0.230178,0.313807,0.34515,0.213526,0.249587	-0.365985,-0.33053,-0.301266,-0.348744,-0.23772,-0.264783,-0.141406,-0.329985,-0.331912,-0.265469,-0.256395,-0.265144,-0.275522,-0.295385,-0.33184,-0.303655,-0.331353,-0.232276,-0.351295,-0.225052	0.558802,0.565928,0.539386,0.535134,0.444606,0.542918,0.474818,0.533321,0.528548,0.526565,0.497417,0.460717,0.489993,0.509685,0.552191,0.498959,0.584394,0.534569,0.52541,0.449396
0.422603,0.474338,0.495346,0.523172,0.384287,0.485317,0.517592,0.506743,0.435603,0.4261,0.453823,0.399841,0.463898,0.48826,0.440707,0.403372,0.440962,0.47001,0.52885,0.414865	-0.0371169,0.0401983,0.0537618,-0.0439512,0.0937704,0.0367335,0.191209,0.102331,0.11346,0.068908,0.0766934,0.0929919,0.0442982,0.0101213,-0.0241605,0.0361093,0.110627,0.140708,0.148524,-0.0151833	0.45262,0.442579,0.453666,0.554376,0.301377,0.456726,0.362232,0.42653,0.338892,0.367997,0.390729,0.318699,0.428404,0.480513,0.45997,0.372691,0.347277,0.352623,0.412746,0.427356
