Aeneus_surface	Outgroup
Arroyo_1Boro	Arroyo
Arroyo_2_S12	Arroyo
Arroyo_3_S13	Arroyo
Arroyo_A2POG	Arroyo
Arroyo_B2POG	Arroyo
Arroyo_C4POG	Arroyo
Arroyo_D4POG	Arroyo
Arroyo_E4POG	Arroyo
Arroyo_F4POG	Arroyo
Arroyo_G4POG	Arroyo
CabMoro_C1Rnd1	CabMoroCave
CabMoro_C2Rnd1	CabMoroCave
CabMoro_C3Rnd1	CabMoroCave
CabMoro_C3Rnd2	CabMoroCave
CabMoro_C4Rnd1	CabMoroCave
CabMoro_C4Rnd2	CabMoroCave
CabMoro_C5Rnd1	CabMoroCave
CabMoro_C5Rnd2	CabMoroCave
CabMoro_C6Rnd1	CabMoroCave
CabMoro_C6Rnd2	CabMoroCave
CabMoro_C7Rnd1	CabMoroCave
CabMoro_C7Rnd2	CabMoroCave
CabMoro_E10Rnd2	CabMoroEyed
CabMoro_E11Rnd2	CabMoroEyed
CabMoro_E12Rnd2	CabMoroEyed
CabMoro_E13Rnd2	CabMoroEyed
CabMoro_E14Rnd2	CabMoroEyed
CabMoro_E15Rnd2	CabMoroEyed
CabMoro_E16Rnd2	CabMoroEyed
CabMoro_E1Rnd1	CabMoroEyed
CabMoro_E2Rnd1	CabMoroEyed
CabMoro_E3Rnd1	CabMoroEyed
CabMoro_E4Rnd1	CabMoroEyed
CabMoro_E5Rnd1	CabMoroEyed
CabMoro_E6Rnd1	CabMoroEyed
CabMoro_E7Rnd1	CabMoroEyed
CabMoro_E8Rnd1	CabMoroEyed
CabMoro_E8Rnd2	CabMoroEyed
CabMoro_E9Rnd2	CabMoroEyed
CabMoro_S1Rnd1	CabMoroSurface
CabMoro_S2Rnd1	CabMoroSurface
CabMoro_S3Rnd1	CabMoroSurface
CabMoro_Sr1Rnd1	CabMoroSurface
CabMoro_Sr2Rnd1	CabMoroSurface
CabMoro_Sr3Rnd1	CabMoroSurface
Chica1_1	ChicaPool2
Chica1_10	ChicaPool2
Chica1_11	ChicaPool2
Chica1_12	ChicaPool2
Chica1_13	ChicaPool2
Chica1_14	ChicaPool2
Chica1_2	ChicaPool2
Chica1_3	ChicaPool2
Chica1_4	ChicaPool2
Chica1_5	ChicaPool2
Chica1_6	ChicaPool2
Chica1_7	ChicaPool2
Chica1_8	ChicaPool2
Chica1_9	ChicaPool2
Chica5_1	ChicaPool1
Chica5_2	ChicaPool1
Chica5_3	ChicaPool1
Chica5_4	ChicaPool1
Chica5_5	ChicaPool1
Choy_1	Choy
Choy_10	Choy
Choy_11	Choy
Choy_12	Choy
Choy_13	Choy
Choy_14	Choy
Choy_5	Choy
Choy_6	Choy
Choy_9	Choy
Escon_1	Escondido
Escon_2	Escondido
Escon_3	Escondido
Escon_4	Escondido
Escon_5	Escondido
Escon_6	Escondido
Escon_7	Escondido
Escon_8	Escondido
Escondido2	Escondido
Gallinas_B4POG	Gallinas
Gallinas_G3POG	Gallinas
Gallinas_H3POG	Gallinas
Japlin1	Japlin
Japones3B	Japones
Japones_T5769_S24	Japones
Japones_T5770_S25	Japones
Japones_japo1_S22	Japones
Japones_japo2_S23	Japones
Jineo_1	Jineo
Jineo_2	Jineo
Jineo_3	Jineo
Jineo_4	Jineo
Jineo_5	Jineo
Jos_1_S14	Jos
Jos_T4550_S16	Jos
Jos_T4555_S18	Jos
Jos_T4587_S17	Jos
Jos_T4588_S15	Jos
Mante_T6151_S25	Mante
Mante_T6152_S24	Mante
Mante_T6153_S28	Mante
Mante_T6154_S29	Mante
Mante_T6155_S26	Mante
Mante_T6156_S27	Mante
Mante_T6157_S22	Mante
Mante_T6158_S20	Mante
Mante_T6159_S23	Mante
Mante_T6160_S21	Mante
Micos_2Boro	Micos
Molino1B	Molino
Molino2B	Molino
Molino4B	Molino
Molino6	Molino
Molino_10b	Molino
Molino_11a	Molino
Molino_12a	Molino
Molino_13b	Molino
Molino_14a	Molino
Molino_15b	Molino
Molino_2a	Molino
Molino_7a	Molino
Molino_9b	Molino
Molinos_2Boro	Molino
Molinos_D3POG	Molino
Montecillos_T5775_S24	Montecillos
