P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
Mante	Escondido	Pachon	0.144571	16.2374	0	0.0730387	6121.54	4376.74	3271.09
Mante	Escondido	Rascon	0.260434	19.5485	0	0.179843	7500.87	3659.77	2147.39
Mante	Subter	Escondido	0.0830793	11.9159	0	0.0384846	5587.89	4985.17	4220.38
Mante	Escondido	Tinaja	0.223385	23.1517	0	0.0995468	6963.03	3967.28	2518.46
Escondido	Pachon	Rascon	0.271066	16.8981	0	0.249776	4398.58	4029.54	2310.87
Subter	Escondido	Pachon	0.0631889	6.92519	2.17695e-12	0.0317273	6353.82	3851.43	3393.62
Tinaja	Pachon	Escondido	0.230875	17.7737	0	0.054401	8574.91	3312.22	2069.68
Subter	Escondido	Rascon	0.11039	10.3508	0	0.0816121	7652.12	3062.98	2453.97
Rascon	Tinaja	Escondido	0.15879	17.2865	0	0.0353188	4476.36	3055.63	2218.19
Subter	Escondido	Tinaja	0.0972834	12.0428	0	0.0438418	7127.95	3376.79	2778.03
Rascon	Pachon	Mante	0.402234	26.3418	0	0.260486	5165.21	4419.46	1883.99
Mante	Subter	Pachon	0.0927539	10.2243	0	0.0426009	7481.04	3853.42	3199.26
Tinaja	Pachon	Mante	0.299931	18.8865	0	0.182417	9987.84	3488.15	1878.52
Mante	Subter	Rascon	0.170768	14.0665	0	0.107306	9030.96	3126.65	2214.54
Rascon	Tinaja	Mante	0.195707	17.4166	0	0.0942859	5715.02	2806.18	1887.58
Mante	Subter	Tinaja	0.144168	14.1461	0	0.0583294	8451.24	3413.76	2553.47
Rascon	Pachon	Subter	0.345666	25.4011	0	0.125833	4498.45	4417.72	2148.13
Pachon	Tinaja	Rascon	0.131798	9.24517	0	0.103216	7505.14	2315.28	1776.05
Tinaja	Pachon	Subter	0.255316	19.4354	0	0.0817075	9259.92	3446.47	2044.53
Rascon	Tinaja	Subter	0.170504	17.5074	0	0.0477464	4991.25	2957.18	2095.65
