P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
Mante	Escondido	Pachon	0.102691	12.4326	0	0.053771	10785	7257.88	5906.06
Mante	Escondido	Rascon	0.205754	17.4161	0	0.169218	13029.6	6028.4	3970.98
Mante	Subter	Escondido	0.0654843	12.2241	0	0.0308189	9921.08	8486.78	7443.59
Mante	Escondido	Tinaja	0.163063	19.542	0	0.0780965	12262.5	6474.62	4659.12
Rascon	Escondido	Pachon	0.0882393	7.03511	9.95554e-13	0.0502754	4280.39	7739.13	6484.09
Subter	Escondido	Pachon	0.0367079	5.07866	1.9005e-07	0.0192166	11077.7	6524.09	6062.08
Tinaja	Pachon	Escondido	0.229879	19.2203	0	0.0569104	14111.2	6011.75	3764.41
Subter	Escondido	Rascon	0.087236	11.3729	0	0.0770899	13205.8	5215.82	4378.82
Rascon	Tinaja	Escondido	0.124067	20.078	0	0.0293626	7072.97	5427.59	4229.47
Subter	Escondido	Tinaja	0.0609033	8.90478	2.71051e-19	0.0296765	12473.5	5662.26	5012.16
Mante	Rascon	Pachon	0.00529207	0.366786	0.356889	0.00332122	3836.95	8185.19	8099.02
Mante	Subter	Pachon	0.0718384	11.2772	0	0.0349991	13325.5	6715.01	5814.88
Tinaja	Pachon	Mante	0.271871	20.006	0	0.180313	16274.1	6511.76	3727.89
Mante	Subter	Rascon	0.129395	15.187	0	0.099246	15954.1	5383.49	4149.91
Rascon	Tinaja	Mante	0.158122	16.3223	0	0.086973	8933.86	5400.27	3925.64
Mante	Subter	Tinaja	0.109616	15.6274	0	0.0490781	15046.4	5916.42	4747.49
Rascon	Subter	Pachon	0.0529773	4.1483	1.67478e-05	0.0318372	4179.3	8084.42	7270.94
Pachon	Tinaja	Rascon	0.0859614	9.75848	0	0.0799666	13023.7	4054.58	3412.69
Tinaja	Pachon	Subter	0.239956	17.777	0	0.083068	15172.7	6439.49	3947.16
Rascon	Tinaja	Subter	0.143921	17.0269	0	0.0446204	7923.63	5592.76	4185.47
