-0.143262,-0.139604,-0.0850982,-0.0730212,-0.142667,-0.113732,-0.0505923,-0.107168,-0.122021,-0.0609264,-0.175617,-0.0956725,-0.179574,-0.0834734,-0.0838107,-0.0733601,-0.113387,-0.0798759,-0.062554,-0.0939107	-0.344246,-0.371807,-0.334927,-0.297056,-0.319193,-0.298572,-0.317541,-0.329674,-0.394092,-0.213314,-0.366451,-0.244072,-0.33757,-0.313624,-0.267297,-0.178647,-0.189506,-0.242122,-0.258398,-0.279454	0.21141,0.244915,0.257158,0.229002,0.184948,0.191338,0.271307,0.230656,0.285816,0.154394,0.20396,0.151948,0.168191,0.236338,0.187691,0.106685,0.0777906,0.165446,0.199062,0.190544
-0.235777,-0.230276,-0.185149,-0.158389,-0.269057,-0.259598,-0.179366,-0.25852,-0.232015,-0.268502,-0.314559,-0.22791,-0.192842,-0.243393,-0.235336,-0.150366,-0.107724,-0.129125,-0.207667,-0.167502	-0.556446,-0.556313,-0.55914,-0.527275,-0.599802,-0.591677,-0.547792,-0.551815,-0.621883,-0.532089,-0.623594,-0.575214,-0.528342,-0.571403,-0.561884,-0.411836,-0.368271,-0.439857,-0.528004,-0.510554	0.369093,0.373942,0.417179,0.402501,0.394392,0.392342,0.408571,0.342098,0.455605,0.307522,0.384447,0.399704,0.37356,0.380997,0.376307,0.27873,0.27131,0.329443,0.359787,0.375133
0.0473921,0.0477385,0.0538245,0.0635444,0.0308008,0.152109,0.106246,0.10175,0.115935,0.105775,0.0901765,0.0660226,0.0481154,0.0363607,0.124221,0.0639273,0.069261,0.0832056,0.0377995,0.118538	0.122202,0.111244,0.109459,0.138138,0.0902151,0.228302,0.126455,0.173194,0.160309,0.146696,0.186337,0.148942,0.0912067,0.15048,0.16934,0.160026,0.115378,0.130107,0.130121,0.167551	-0.075246,-0.0638445,-0.0559643,-0.075254,-0.0595798,-0.0789346,-0.0204839,-0.0727264,-0.0452144,-0.041566,-0.0978035,-0.0837427,-0.0432812,-0.114747,-0.0460886,-0.0970923,-0.0464885,-0.047415,-0.0927775,-0.0500068
-0.167869,-0.192314,-0.147582,-0.133685,-0.203318,-0.145045,-0.141006,-0.210705,-0.182353,-0.174059,-0.235055,-0.217089,-0.20714,-0.205817,-0.1498,-0.126811,-0.105625,-0.124712,-0.130688,-0.142216	-0.464147,-0.48527,-0.502854,-0.46995,-0.494146,-0.467668,-0.465658,-0.491878,-0.534694,-0.409626,-0.520491,-0.500374,-0.467169,-0.499952,-0.456944,-0.316493,-0.296522,-0.37194,-0.428966,-0.436018	0.321313,0.32311,0.383751,0.358807,0.32331,0.3461,0.347467,0.313683,0.390407,0.253652,0.325225,0.317807,0.287888,0.327872,0.329713,0.197614,0.19707,0.259254,0.315992,0.313225
0.244064,0.263036,0.186636,0.227019,0.289591,0.227905,0.191181,0.189468,0.280693,0.182791,0.269261,0.184096,0.269829,0.280549,0.16655,0.134277,0.131362,0.103578,0.177667,0.202828	-0.0482987,0.0277986,-0.0954593,-0.0710127,-0.0874851,-0.144381,-0.045634,-0.0166651,-0.0719542,-0.0867633,-0.0563833,-0.201173,-0.0611205,0.00500272,-0.156526,-0.112878,-0.131808,-0.14982,-0.0983739,-0.0907065	0.288956,0.236971,0.277157,0.293303,0.367759,0.360426,0.234767,0.205485,0.345666,0.265346,0.320775,0.37151,0.32558,0.275934,0.314868,0.243465,0.258691,0.249526,0.271299,0.288232
-0.32537,-0.358276,-0.327232,-0.289735,-0.317052,-0.310071,-0.30436,-0.31864,-0.366693,-0.236433,-0.352575,-0.277112,-0.3299,-0.335729,-0.245098,-0.209923,-0.181638,-0.232048,-0.295317,-0.279917	-0.0344098,-0.0609288,-0.0164257,0.00842247,-0.0762332,-0.0457345,-0.0167595,-0.0212562,-0.0332567,-0.0441258,-0.0635675,-0.0552511,-0.128487,0.00715451,-0.00917247,-0.0127671,-0.0616558,-0.0172318,-0.0119025,-0.0469863	-0.294254,-0.303983,-0.312486,-0.297432,-0.246783,-0.268139,-0.289075,-0.299411,-0.337552,-0.194334,-0.295634,-0.225311,-0.210328,-0.342062,-0.236457,-0.197686,-0.121341,-0.215679,-0.284414,-0.236035
0.661638,0.643154,0.641986,0.55146,0.634789,0.662299,0.579443,0.683605,0.678861,0.601419,0.661933,0.581385,0.612476,0.612804,0.585991,0.368172,0.351602,0.403775,0.552689,0.56756	0.49689,0.536221,0.429784,0.35932,0.411705,0.424561,0.465696,0.554678,0.504534,0.445835,0.474186,0.328871,0.439613,0.458626,0.36554,0.230965,0.178255,0.247608,0.371567,0.392533	0.245439,0.163226,0.293062,0.239622,0.302014,0.330737,0.155785,0.207673,0.265139,0.212586,0.273636,0.312207,0.236556,0.214448,0.280545,0.149959,0.184938,0.173514,0.22793,0.225198
-0.518545,-0.492382,-0.520452,-0.499289,-0.52532,-0.568618,-0.512832,-0.505101,-0.577048,-0.49973,-0.575187,-0.538338,-0.485302,-0.558895,-0.510917,-0.423618,-0.362866,-0.424156,-0.516069,-0.492147	-0.0875482,-0.0744882,-0.0570527,-0.0431149,-0.0900362,-0.13389,-0.0968171,-0.11413,-0.0955863,-0.17754,-0.14668,-0.0732716,-0.077905,-0.0970427,-0.111688,-0.0594877,-0.0475613,-0.0549716,-0.0686186,-0.0917513	-0.451493,-0.433804,-0.47758,-0.46621,-0.456893,-0.470552,-0.437749,-0.414888,-0.509569,-0.353558,-0.46799,-0.484164,-0.423405,-0.488338,-0.423389,-0.373543,-0.320842,-0.377998,-0.463877,-0.419331
0.163276,0.186879,0.177165,0.130702,0.201217,0.173623,0.128972,0.180705,0.177378,0.134061,0.212266,0.111206,0.15345,0.18833,0.103453,0.0516334,0.0297143,0.0432305,0.11713,0.105602	0.278105,0.295587,0.24828,0.238702,0.360747,0.30095,0.25041,0.254341,0.346232,0.255883,0.346423,0.252235,0.315134,0.308526,0.209031,0.18153,0.13814,0.160536,0.215801,0.222452	-0.120291,-0.115064,-0.0743866,-0.111477,-0.172017,-0.134346,-0.125491,-0.0771836,-0.179903,-0.126149,-0.144806,-0.145099,-0.169899,-0.127611,-0.107912,-0.131126,-0.108873,-0.118125,-0.10123,-0.119661
-0.0341435,-0.0395379,-0.0474764,-0.0289954,-0.0616295,-0.0412488,-0.0648984,-0.106947,-0.0749647,-0.102823,-0.108399,-0.107073,-0.0993589,-0.0616043,-0.0306672,-0.067726,-0.0536286,-0.0328514,-0.004585,-0.0714691	-0.430053,-0.420966,-0.473705,-0.448003,-0.441334,-0.456599,-0.427709,-0.472649,-0.500394,-0.390062,-0.49583,-0.484174,-0.422825,-0.48166,-0.414769,-0.35081,-0.295663,-0.341511,-0.420673,-0.42703	0.40181,0.387884,0.436035,0.424522,0.390321,0.423323,0.373169,0.385172,0.442009,0.299241,0.409437,0.39772,0.337651,0.432901,0.38905,0.289974,0.245933,0.312162,0.416892,0.366754
