-0.215866,-0.183049,-0.157443,-0.127111,-0.119525,-0.162372,-0.0828333,-0.143062,-0.203917,-0.133255,-0.180678,-0.125055,-0.176789,-0.116045,-0.193466,-0.0707694,-0.156442,-0.154844,-0.0902774,-0.131602	-0.403422,-0.370203,-0.36152,-0.309489,-0.330908,-0.281544,-0.280201,-0.345144,-0.337658,-0.344581,-0.344212,-0.26669,-0.305081,-0.289614,-0.377689,-0.167711,-0.163927,-0.280398,-0.27027,-0.303807	0.205447,0.200758,0.216394,0.189847,0.220088,0.124881,0.202057,0.212579,0.143631,0.221497,0.174379,0.146522,0.135606,0.179605,0.198745,0.0981057,0.00768253,0.131253,0.184494,0.179377
-0.307557,-0.28922,-0.252006,-0.181854,-0.241777,-0.35822,-0.223417,-0.260105,-0.344858,-0.246098,-0.405447,-0.296003,-0.241815,-0.305713,-0.310689,-0.244188,-0.178723,-0.191025,-0.239413,-0.227831	-0.603779,-0.591441,-0.597605,-0.523938,-0.609008,-0.61609,-0.533841,-0.562153,-0.585595,-0.598671,-0.62801,-0.63459,-0.514714,-0.598181,-0.600973,-0.485023,-0.4079,-0.453731,-0.556789,-0.516328	0.363773,0.364585,0.406874,0.37811,0.43064,0.330898,0.352461,0.353777,0.301656,0.413495,0.298592,0.416898,0.311694,0.357922,0.356928,0.273192,0.247198,0.287637,0.366191,0.32696
0.0369535,0.0695077,-0.00323262,0.0894906,0.0491249,0.0716047,0.133797,0.0843286,0.063244,0.0488383,0.0781681,0.123672,0.0295706,-0.0200318,0.0938174,0.0414026,-0.00126681,0.042578,0.0508977,0.0767377	0.0866931,0.0948026,0.0620799,0.171403,0.140257,0.216748,0.216707,0.178873,0.178417,0.145197,0.128679,0.209729,0.114561,0.106313,0.152904,0.170995,0.0881541,0.0822501,0.115321,0.149169	-0.0498995,-0.0254627,-0.0652994,-0.0831887,-0.0917639,-0.147432,-0.0853857,-0.0959925,-0.116488,-0.0970469,-0.0510236,-0.0883488,-0.0852789,-0.126076,-0.0599467,-0.130516,-0.089411,-0.0398115,-0.0648034,-0.0732705
-0.23697,-0.213768,-0.194238,-0.183865,-0.212134,-0.249092,-0.177924,-0.25712,-0.285171,-0.213686,-0.296722,-0.284532,-0.231221,-0.284882,-0.286284,-0.176966,-0.157345,-0.18595,-0.205022,-0.222751	-0.510529,-0.491601,-0.517483,-0.457748,-0.499131,-0.497582,-0.434513,-0.509776,-0.482997,-0.528804,-0.501331,-0.544031,-0.449654,-0.51588,-0.524405,-0.373719,-0.316022,-0.399067,-0.46597,-0.450103	0.311208,0.31046,0.359366,0.299053,0.320983,0.283646,0.278089,0.290768,0.229427,0.355262,0.240365,0.307024,0.243779,0.270796,0.280185,0.210687,0.16698,0.2302,0.28851,0.252687
0.314605,0.354066,0.273676,0.305858,0.375916,0.293773,0.307097,0.350141,0.289628,0.318723,0.18907,0.306867,0.299212,0.282713,0.376938,0.175707,0.116928,0.154175,0.279924,0.238888	0.0148283,0.0425796,-0.0653163,-0.0221267,-0.0341427,-0.0769526,0.0347295,0.0718503,-0.0247541,-0.0532689,-0.0474097,-0.150516,-0.0159826,-0.032256,0.0504477,-0.0869109,-0.199517,-0.0870317,-0.0402733,-0.00753685	0.301182,0.316255,0.33304,0.32578,0.404862,0.36253,0.275304,0.285472,0.312145,0.365782,0.234379,0.437189,0.313694,0.312123,0.332819,0.258667,0.309231,0.238013,0.316627,0.245982
-0.382887,-0.325418,-0.364735,-0.311705,-0.302061,-0.336907,-0.300796,-0.310506,-0.31837,-0.371897,-0.320941,-0.268353,-0.29045,-0.347901,-0.287104,-0.225336,-0.221495,-0.255794,-0.259175,-0.324602	-0.119337,-0.0922619,-0.0927071,-0.0549378,0.0104303,-0.085156,-0.0256936,-0.00699154,-0.0604244,-0.0687302,-0.112486,-0.0456797,-0.0778531,-0.0592256,-0.0193742,-0.0165302,-0.138273,-0.0811797,-0.0146539,-0.0918275	-0.276169,-0.240373,-0.281548,-0.261241,-0.31151,-0.259187,-0.277245,-0.304175,-0.263005,-0.311119,-0.216263,-0.225437,-0.217516,-0.294749,-0.269227,-0.209586,-0.0858516,-0.178317,-0.245454,-0.239926
0.684231,0.7157,0.674985,0.600218,0.652178,0.678651,0.634692,0.73038,0.668038,0.681617,0.619621,0.653857,0.645502,0.550643,0.724547,0.465648,0.336214,0.402332,0.611846,0.567116	0.535672,0.570504,0.444211,0.438567,0.472959,0.442791,0.519497,0.610416,0.533126,0.461657,0.504366,0.39809,0.488571,0.399524,0.586929,0.30788,0.12025,0.248224,0.442211,0.450345	0.234514,0.245392,0.3296,0.219407,0.259156,0.337184,0.171861,0.216477,0.209538,0.320956,0.167648,0.345769,0.229223,0.193741,0.239443,0.184171,0.225063,0.171206,0.232557,0.156824
-0.566618,-0.508412,-0.557193,-0.507718,-0.52325,-0.5842,-0.526757,-0.506485,-0.523035,-0.58275,-0.5447,-0.598587,-0.461838,-0.539283,-0.523168,-0.484577,-0.420485,-0.403078,-0.506398,-0.504809	-0.169877,-0.12569,-0.105694,-0.0833252,-0.00714817,-0.145478,-0.129047,-0.0669373,-0.129525,-0.113822,-0.240461,-0.140096,-0.0764604,-0.0688495,-0.110961,-0.127204,-0.108573,-0.0761996,-0.0749347,-0.139553	-0.438997,-0.408848,-0.479753,-0.443141,-0.518039,-0.479472,-0.426717,-0.454973,-0.422105,-0.502241,-0.350094,-0.50046,-0.399485,-0.488575,-0.437611,-0.380848,-0.326834,-0.337236,-0.448482,-0.392937
0.238919,0.224036,0.25702,0.16387,0.224728,0.259133,0.244634,0.268232,0.208825,0.211559,0.149071,0.217004,0.205861,0.146466,0.230102,0.196135,0.0146919,0.108748,0.174904,0.186052	0.362626,0.362777,0.364906,0.322987,0.465929,0.388689,0.39283,0.41803,0.399931,0.342844,0.286094,0.432647,0.358712,0.330227,0.414878,0.326767,0.146647,0.206748,0.323583,0.3117	-0.135442,-0.151014,-0.119051,-0.16801,-0.269411,-0.144067,-0.163951,-0.168717,-0.20852,-0.141552,-0.143127,-0.237987,-0.165038,-0.193101,-0.204277,-0.139578,-0.13224,-0.100254,-0.157599,-0.133383
-0.108052,-0.09691,-0.0559262,-0.104581,-0.0205969,-0.07524,-0.0865806,-0.0812634,-0.115481,-0.115878,-0.180822,-0.11149,-0.113246,-0.134453,-0.10613,-0.0786882,-0.109802,-0.071193,-0.0445165,-0.148758	-0.464797,-0.433211,-0.47688,-0.456378,-0.434631,-0.488355,-0.426861,-0.448941,-0.444653,-0.530161,-0.442912,-0.485061,-0.426784,-0.503349,-0.449139,-0.392376,-0.348234,-0.342362,-0.401586,-0.454514	0.375609,0.351039,0.432488,0.369429,0.417774,0.428874,0.353339,0.381599,0.346989,0.441399,0.284908,0.394929,0.329461,0.395674,0.360178,0.323682,0.247911,0.277944,0.363569,0.327929
