Aeneus_surface	Outgroup
Chica1_1	Chica
Chica1_10	Chica
Chica1_11	Chica
Chica1_12	Chica
Chica1_13	Chica
Chica1_14	Chica
Chica1_2	Chica
Chica1_3	Chica
Chica1_4	Chica
Chica1_5	Chica
Chica1_6	Chica
Chica1_7	Chica
Chica1_8	Chica
Chica1_9	Chica
Chica5_1	Chica
Chica5_2	Chica
Chica5_3	Chica
Chica5_4	Chica
Chica5_5	Chica
Choy_1		Choy
Choy_10		Choy
Choy_11		Choy
Choy_12		Choy
Choy_13		Choy
Choy_14		Choy
Choy_5		Choy
Choy_6		Choy
Choy_9		Choy
Rascon_12	Rascon
Rascon_13	Rascon
Rascon_15	Rascon
Rascon_16	Rascon
Rascon_2	Rascon
Rascon_4	Rascon
Rascon_6	Rascon
Rascon_8	Rascon
Tinaja_11	Tinaja
Tinaja_12	Tinaja
Tinaja_2	Tinaja
Tinaja_3	Tinaja
Tinaja_5	Tinaja
Tinaja_6	Tinaja
Tinaja_B	Tinaja
Tinaja_C	Tinaja
Tinaja_D	Tinaja
Tinaja_E	Tinaja
